Date : 2024-03-14 19:58:53
Directory : e:\studio projects\sono
Total : 64 files,  1441 codes, 204 comments, 252 blanks, all 1897 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\studio projects\sono\lib\core\localization\translation.dart                            | Dart       |         10 |          2 |          3 |         15 |
| e:\studio projects\sono\lib\core\middleware\my_middleware.dart                            | Dart       |         14 |          0 |          7 |         21 |
| e:\studio projects\sono\lib\core\services\services.dart                                   | Dart       |         13 |          0 |          6 |         19 |
| e:\studio projects\sono\lib\data\data_source\static\onboarding_static.dart                | Dart       |         11 |          0 |          2 |         13 |
| e:\studio projects\sono\lib\data\model\onboarding_model.dart                              | Dart       |          6 |          0 |          1 |          7 |
| e:\studio projects\sono\lib\logic\bindings\initial_bindings.dart                          | Dart       |          8 |          1 |          4 |         13 |
| e:\studio projects\sono\lib\logic\controller\home_screen_controller.dart                  | Dart       |         35 |          0 |          8 |         43 |
| e:\studio projects\sono\lib\logic\controller\onboarding_controller.dart                   | Dart       |         41 |          0 |         10 |         51 |
| e:\studio projects\sono\lib\main.dart                                                     | Dart       |         45 |          0 |          8 |         53 |
| e:\studio projects\sono\lib\test.dart                                                     | Dart       |         13 |          0 |          3 |         16 |
| e:\studio projects\sono\lib\view\screen\account.dart                                      | Dart       |          8 |          0 |          2 |         10 |
| e:\studio projects\sono\lib\view\screen\advertisements.dart                               | Dart       |          8 |          0 |          3 |         11 |
| e:\studio projects\sono\lib\view\screen\chats.dart                                        | Dart       |         28 |          0 |          4 |         32 |
| e:\studio projects\sono\lib\view\screen\home_page\home_page.dart                          | Dart       |         10 |          0 |          3 |         13 |
| e:\studio projects\sono\lib\view\screen\home_page\icons_home\add_ads\add.dart             | Dart       |         23 |          0 |          3 |         26 |
| e:\studio projects\sono\lib\view\screen\home_page\icons_home\favorite.dart                | Dart       |         19 |          0 |          3 |         22 |
| e:\studio projects\sono\lib\view\screen\home_page\icons_home\notifications.dart           | Dart       |         16 |          0 |          2 |         18 |
| e:\studio projects\sono\lib\view\screen\home_screen.dart                                  | Dart       |         31 |          0 |          6 |         37 |
| e:\studio projects\sono\lib\view\screen\language.dart                                     | Dart       |          0 |          0 |          1 |          1 |
| e:\studio projects\sono\lib\view\screen\onboarding.dart                                   | Dart       |         30 |          0 |          4 |         34 |
| e:\studio projects\sono\lib\view\widget\arrow_back.dart                                   | Dart       |         24 |          0 |          4 |         28 |
| e:\studio projects\sono\lib\view\widget\bottom_nav_bar\animated_container.dart            | Dart       |         25 |          0 |          4 |         29 |
| e:\studio projects\sono\lib\view\widget\bottom_nav_bar\bottom_nav_bar.dart                | Dart       |         91 |          0 |          6 |         97 |
| e:\studio projects\sono\lib\view\widget\home_page\add_ads\add_appbar.dart                 | Dart       |         42 |          0 |          5 |         47 |
| e:\studio projects\sono\lib\view\widget\home_page\add_ads\add_card.dart                   | Dart       |         12 |          0 |          2 |         14 |
| e:\studio projects\sono\lib\view\widget\home_page\custom_appbar_home\close_icon_page.dart | Dart       |         24 |          0 |          4 |         28 |
| e:\studio projects\sono\lib\view\widget\home_page\custom_appbar_home\custom_appbar.dart   | Dart       |         68 |          0 |          6 |         74 |
| e:\studio projects\sono\lib\view\widget\home_page\custom_appbar_home\icon_appbar.dart     | Dart       |         18 |          0 |          4 |         22 |
| e:\studio projects\sono\lib\view\widget\home_page\filter.dart                             | Dart       |         23 |          0 |          4 |         27 |
| e:\studio projects\sono\lib\view\widget\onboarding\custom_button.dart                     | Dart       |         40 |          0 |          2 |         42 |
| e:\studio projects\sono\lib\view\widget\onboarding\custom_slider.dart                     | Dart       |         54 |          0 |          4 |         58 |
| e:\studio projects\sono\lib\view\widget\onboarding\dot_controller.dart                    | Dart       |         35 |          0 |          3 |         38 |
| e:\studio projects\sono\lib\view\widget\onboarding\skip_button.dart                       | Dart       |         25 |          0 |          4 |         29 |
| e:\studio projects\sono\lib\view\widget\text_form_field.dart                              | Dart       |         36 |          2 |          4 |         42 |
| e:\studio projects\sono\pubspec.yaml                                                      | YAML       |         23 |         51 |          6 |         80 |
| Total                                                                                     |            |      1,441 |        204 |        252 |      1,897 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
