Date : 2024-04-11 08:13:11
Directory : /media/nims/ملفاتي/studio projects/sono
Total : 86 files,  2062 codes, 297 comments, 412 blanks, all 2771 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/drawable/launch_background.xml           | XML        |          4 |          7 |          2 |         13 |
| /media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/values-night/styles.xml                  | XML        |          9 |          9 |          1 |         19 |
| /media/nims/ملفاتي/studio projects/sono/android/app/src/main/res/values/styles.xml                        | XML        |          9 |          9 |          1 |         19 |
| /media/nims/ملفاتي/studio projects/sono/android/app/src/profile/AndroidManifest.xml                       | XML        |          3 |          4 |          1 |          8 |
| /media/nims/ملفاتي/studio projects/sono/android/build.gradle                                              | Groovy     |         26 |          0 |          5 |         31 |
| /media/nims/ملفاتي/studio projects/sono/android/gradle.properties                                         | Properties |          3 |          0 |          1 |          4 |
| /media/nims/ملفاتي/studio projects/sono/android/gradle/wrapper/gradle-wrapper.properties                  | Properties |          5 |          0 |          1 |          6 |
| /media/nims/ملفاتي/studio projects/sono/android/settings.gradle                                           | Groovy     |         24 |          0 |          6 |         30 |
| /media/nims/ملفاتي/studio projects/sono/ios/Runner/AppDelegate.swift                                      | Swift      |         12 |          0 |          2 |         14 |
| /media/nims/ملفاتي/studio projects/sono/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json       | JSON       |        122 |          0 |          1 |        123 |
| /media/nims/ملفاتي/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json     | JSON       |         23 |          0 |          1 |         24 |
| /media/nims/ملفاتي/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md         | Markdown   |          3 |          0 |          2 |          5 |
| /media/nims/ملفاتي/studio projects/sono/ios/Runner/Base.lproj/LaunchScreen.storyboard                     | XML        |         36 |          1 |          1 |         38 |
| /media/nims/ملفاتي/studio projects/sono/ios/Runner/Base.lproj/Main.storyboard                             | XML        |         25 |          1 |          1 |         27 |
| /media/nims/ملفاتي/studio projects/sono/ios/Runner/Runner-Bridging-Header.h                               | C++        |          1 |          0 |          1 |          2 |
| /media/nims/ملفاتي/studio projects/sono/ios/RunnerTests/RunnerTests.swift                                 | Swift      |          7 |          2 |          4 |         13 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/image_asset.dart                                | Dart       |         28 |          3 |          9 |         40 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/routes/get_page.dart                            | Dart       |         28 |          4 |         12 |         44 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/routes/route.dart                               | Dart       |          8 |         26 |         11 |         45 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color/dark_color.dart                     | Dart       |          3 |          5 |          7 |         15 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color/general_color.dart                  | Dart       |         29 |          4 |         12 |         45 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color/light_color.dart                    | Dart       |          3 |          5 |          7 |         15 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/app_bar_theme.dart          | Dart       |         14 |          0 |          5 |         19 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/elevated_button_theme.dart  | Dart       |         27 |          0 |          4 |         31 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/icon_theme.dart             | Dart       |         10 |          0 |          7 |         17 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/text_filed_theme.dart       | Dart       |         31 |          2 |          7 |         40 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/custom_themes/text_theme.dart             | Dart       |         40 |          0 |          5 |         45 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/theme.dart                                | Dart       |         40 |          0 |          4 |         44 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/functions/theme_text_button_color.dart                   | Dart       |          5 |          0 |          2 |          7 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/middleware/my_middleware.dart                            | Dart       |         14 |          0 |          7 |         21 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/responsive/base_widget.dart                              | Dart       |         12 |          0 |          6 |         18 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/responsive/responsive_layout.dart                        | Dart       |         26 |          0 |          6 |         32 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/responsive/screen_size.dart                              | Dart       |         15 |          1 |          5 |         21 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/services/services.dart                                   | Dart       |         24 |          0 |          9 |         33 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/utilization/change_local.dart                            | Dart       |         34 |          0 |         12 |         46 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/language/ar.dart                | Dart       |         31 |         12 |          8 |         51 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/language/en.dart                | Dart       |         31 |         11 |          7 |         49 |
| /media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/translation.dart                | Dart       |         10 |          2 |          3 |         15 |
| /media/nims/ملفاتي/studio projects/sono/lib/data/data_source/static/onboarding_static.dart                | Dart       |         15 |          0 |          2 |         17 |
| /media/nims/ملفاتي/studio projects/sono/lib/data/model/onboarding_model.dart                              | Dart       |          6 |          0 |          1 |          7 |
| /media/nims/ملفاتي/studio projects/sono/lib/logic/bindings/initial_bindings.dart                          | Dart       |         12 |          1 |          5 |         18 |
| /media/nims/ملفاتي/studio projects/sono/lib/logic/controller/home_screen_controller.dart                  | Dart       |         35 |          0 |          8 |         43 |
| /media/nims/ملفاتي/studio projects/sono/lib/logic/controller/onboarding_controller.dart                   | Dart       |         41 |          0 |         10 |         51 |
| /media/nims/ملفاتي/studio projects/sono/lib/main.dart                                                     | Dart       |         43 |          0 |          6 |         49 |
| /media/nims/ملفاتي/studio projects/sono/lib/main_screen.dart                                              | Dart       |         23 |          0 |          4 |         27 |
| /media/nims/ملفاتي/studio projects/sono/lib/test.dart                                                     | Dart       |          0 |         48 |         13 |         61 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/account.dart                                      | Dart       |          8 |          0 |          2 |         10 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/advertisements.dart                               | Dart       |          8 |          0 |          3 |         11 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/chats.dart                                        | Dart       |         28 |          0 |          4 |         32 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/home_page.dart                          | Dart       |         10 |          0 |          3 |         13 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/icons_home/add_ads/add.dart             | Dart       |         23 |          0 |          3 |         26 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/icons_home/favorite.dart                | Dart       |         19 |          0 |          3 |         22 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_page/icons_home/notifications.dart           | Dart       |         16 |          0 |          2 |         18 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/home_screen.dart                                  | Dart       |         35 |          0 |          5 |         40 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/language.dart                                     | Dart       |         36 |          0 |          4 |         40 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/screen/onboarding.dart                                   | Dart       |         30 |          0 |          4 |         34 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/arrow_back.dart                                   | Dart       |         24 |          0 |          4 |         28 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/bottom_nav_bar/animated_container.dart            | Dart       |         25 |          0 |          4 |         29 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/bottom_nav_bar/bottom_nav_bar.dart                | Dart       |         91 |          0 |          5 |         96 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/add_ads/add_appbar.dart                 | Dart       |         44 |          0 |          4 |         48 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/add_ads/add_card.dart                   | Dart       |         12 |          0 |          2 |         14 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/custom_appbar_home/close_icon_page.dart | Dart       |         24 |          0 |          4 |         28 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/custom_appbar_home/custom_appbar.dart   | Dart       |         72 |          1 |          6 |         79 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/custom_appbar_home/icon_appbar.dart     | Dart       |         18 |          0 |          4 |         22 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/home_page/filter.dart                             | Dart       |         23 |          0 |          4 |         27 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/custom_button.dart                     | Dart       |         44 |          0 |          2 |         46 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/custom_slider.dart                     | Dart       |         75 |          0 |          4 |         79 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/dot_controller.dart                    | Dart       |         44 |          0 |          4 |         48 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/onboarding/skip_button.dart                       | Dart       |         30 |          0 |          4 |         34 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/text_form_field.dart                              | Dart       |         36 |          2 |          4 |         42 |
| /media/nims/ملفاتي/studio projects/sono/lib/view/widget/utilization/language/custom_button_lang.dart      | Dart       |         26 |          0 |          3 |         29 |
| /media/nims/ملفاتي/studio projects/sono/linux/flutter/generated_plugin_registrant.cc                      | C++        |          3 |          4 |          5 |         12 |
| /media/nims/ملفاتي/studio projects/sono/linux/flutter/generated_plugin_registrant.h                       | C++        |          5 |          5 |          6 |         16 |
| /media/nims/ملفاتي/studio projects/sono/linux/main.cc                                                     | C++        |          5 |          0 |          2 |          7 |
| /media/nims/ملفاتي/studio projects/sono/linux/my_application.cc                                           | C++        |         74 |         11 |         20 |        105 |
| /media/nims/ملفاتي/studio projects/sono/linux/my_application.h                                            | C++        |          7 |          7 |          5 |         19 |
| /media/nims/ملفاتي/studio projects/sono/pubspec.yaml                                                      | YAML       |         32 |         40 |          7 |         79 |
| /media/nims/ملفاتي/studio projects/sono/test/widget_test.dart                                             | Dart       |         14 |         10 |          7 |         31 |
| /media/nims/ملفاتي/studio projects/sono/web/index.html                                                    | HTML       |         38 |         16 |          6 |         60 |
| /media/nims/ملفاتي/studio projects/sono/web/manifest.json                                                 | JSON       |         35 |          0 |          1 |         36 |
| Total                                                                                                     |            |      2,062 |        297 |        412 |      2,771 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
