Date : 2024-04-08 05:37:54
Directory : /media/nims/ملفاتي/studio projects/sono
Total : 83 files,  1988 codes, 290 comments, 391 blanks, all 2669 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         53 |      1,377 |        130 |        281 |      1,788 |
| JSON       |          3 |        180 |          0 |          3 |        183 |
| XML        |          9 |        120 |         48 |         11 |        179 |
| Groovy     |          3 |        101 |          5 |         23 |        129 |
| C++        |          6 |         95 |         27 |         39 |        161 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         37 |         62 |         11 |        110 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         83 |      1,988 |        290 |        391 |      2,669 |
| . (Files)                                                                                                 |          3 |         47 |         62 |         18 |        127 |
| android                                                                                                   |         12 |        168 |         51 |         34 |        253 |
| android (Files)                                                                                           |          3 |         53 |          0 |         12 |         65 |
| android/app                                                                                               |          8 |        110 |         51 |         21 |        182 |
| android/app (Files)                                                                                       |          1 |         51 |          5 |         12 |         68 |
| android/app/src                                                                                           |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                      |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                              |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                                  |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                         |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                     |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                           |          1 |          9 |          9 |          1 |         19 |
