Date : 2024-05-04 02:03:34
Directory : /home/nims/studio projects/sono
Total : 94 files,  2270 codes, 309 comments, 473 blanks, all 3052 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                   |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                             |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                   |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                               |         63 |      1,646 |        140 |        356 |      2,142 |
| lib (Files)                                                                                       |          3 |         60 |         48 |         22 |        130 |
| lib/core                                                                                          |         24 |        536 |         82 |        189 |        807 |
| lib/core/constant                                                                                 |         12 |        274 |         49 |         90 |        413 |
| lib/core/constant (Files)                                                                         |          1 |         30 |          3 |         11 |         44 |
| lib/core/constant/routes                                                                          |          2 |         36 |         30 |         23 |         89 |
| lib/core/constant/theme                                                                           |          9 |        208 |         16 |         56 |        280 |
| lib/core/constant/theme (Files)                                                                   |          1 |         40 |          0 |          4 |         44 |
| lib/core/constant/theme/color                                                                     |          3 |         32 |         16 |         30 |         78 |
| lib/core/constant/theme/elements_theme                                                            |          5 |        136 |          0 |         22 |        158 |
| lib/core/functions                                                                                |          1 |          7 |          0 |          4 |         11 |
| lib/core/localization                                                                             |          3 |         74 |         33 |         44 |        151 |
| lib/core/localization (Files)                                                                     |          1 |         10 |          2 |          3 |         15 |
| lib/core/localization/language                                                                    |          2 |         64 |         31 |         41 |        136 |
| lib/core/middleware                                                                               |          1 |         14 |          0 |          7 |         21 |
| lib/core/package                                                                                  |          1 |         49 |          0 |          5 |         54 |
| lib/core/responsive                                                                               |          4 |         61 |          0 |         18 |         79 |
| lib/core/services                                                                                 |          2 |         57 |          0 |         21 |         78 |
| lib/data                                                                                          |          2 |         21 |          0 |          3 |         24 |
| lib/data/data_source                                                                              |          1 |         15 |          0 |          2 |         17 |
| lib/data/data_source/static                                                                       |          1 |         15 |          0 |          2 |         17 |
| lib/data/model                                                                                    |          1 |          6 |          0 |          1 |          7 |
| lib/logic                                                                                         |          4 |         97 |          1 |         31 |        129 |
| lib/logic/bindings                                                                                |          1 |         12 |          1 |          5 |         18 |
| lib/logic/controller                                                                              |          3 |         85 |          0 |         26 |        111 |
| lib/view                                                                                          |         30 |        932 |          9 |        111 |      1,052 |
| lib/view/screen                                                                                   |         10 |        211 |          0 |         33 |        244 |
| lib/view/screen (Files)                                                                           |          6 |        135 |          0 |         22 |        157 |
| lib/view/screen/home_page                                                                         |          4 |         76 |          0 |         11 |         87 |
| lib/view/screen/home_page (Files)                                                                 |          1 |         18 |          0 |          3 |         21 |
| lib/view/screen/home_page/icons_home                                                              |          3 |         58 |          0 |          8 |         66 |
| lib/view/screen/home_page/icons_home (Files)                                                      |          2 |         35 |          0 |          5 |         40 |
| lib/view/screen/home_page/icons_home/add_ads                                                      |          1 |         23 |          0 |          3 |         26 |
| lib/view/widget                                                                                   |         20 |        721 |          9 |         78 |        808 |
| lib/view/widget (Files)                                                                           |          4 |         91 |          9 |         15 |        115 |
| lib/view/widget/bottom_nav_bar                                                                    |          2 |        118 |          0 |         10 |        128 |
| lib/view/widget/custom_app_bar                                                                    |          7 |        236 |          0 |         30 |        266 |
| lib/view/widget/home_page                                                                         |          2 |         56 |          0 |          6 |         62 |
| lib/view/widget/home_page/add_ads                                                                 |          2 |         56 |          0 |          6 |         62 |
| lib/view/widget/onboarding                                                                        |          4 |        194 |          0 |         14 |        208 |
| lib/view/widget/utilization                                                                       |          1 |         26 |          0 |          3 |         29 |
| lib/view/widget/utilization/language                                                              |          1 |         26 |          0 |          3 |         29 |
| linux                                                                                             |          5 |         94 |         27 |         38 |        159 |
| linux (Files)                                                                                     |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                     |          2 |          8 |          9 |         11 |         28 |
| test                                                                                              |          1 |         14 |         10 |          7 |         31 |
| web                                                                                               |          2 |         73 |         16 |          7 |         96 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/nims/studio projects/sono/README.md                                                         | Markdown   |         10 |          0 |          7 |         17 |
| /home/nims/studio projects/sono/analysis_options.yaml                                             | YAML       |          3 |         22 |          4 |         29 |
| /home/nims/studio projects/sono/android/app/build.gradle                                          | Groovy     |         51 |          5 |         12 |         68 |
| /home/nims/studio projects/sono/android/app/src/debug/AndroidManifest.xml                         | XML        |          3 |          4 |          1 |          8 |
| /home/nims/studio projects/sono/android/app/src/main/AndroidManifest.xml                          | XML        |         27 |          6 |          1 |         34 |
| /home/nims/studio projects/sono/android/app/src/main/res/drawable-v21/launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| /home/nims/studio projects/sono/android/app/src/main/res/drawable/launch_background.xml           | XML        |          4 |          7 |          2 |         13 |
| /home/nims/studio projects/sono/android/app/src/main/res/values-night/styles.xml                  | XML        |          9 |          9 |          1 |         19 |
| /home/nims/studio projects/sono/android/app/src/main/res/values/styles.xml                        | XML        |          9 |          9 |          1 |         19 |
| /home/nims/studio projects/sono/android/app/src/profile/AndroidManifest.xml                       | XML        |          3 |          4 |          1 |          8 |
| /home/nims/studio projects/sono/android/build.gradle                                              | Groovy     |         26 |          0 |          5 |         31 |
| /home/nims/studio projects/sono/android/gradle.properties                                         | Properties |          3 |          0 |          1 |          4 |
| /home/nims/studio projects/sono/android/gradle/wrapper/gradle-wrapper.properties                  | Properties |          5 |          0 |          1 |          6 |
| /home/nims/studio projects/sono/android/settings.gradle                                           | Groovy     |         24 |          0 |          6 |         30 |
| /home/nims/studio projects/sono/ios/Runner/AppDelegate.swift                                      | Swift      |         12 |          0 |          2 |         14 |
| /home/nims/studio projects/sono/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json       | JSON       |        122 |          0 |          1 |        123 |
| /home/nims/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json     | JSON       |         23 |          0 |          1 |         24 |
| /home/nims/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md         | Markdown   |          3 |          0 |          2 |          5 |
| /home/nims/studio projects/sono/ios/Runner/Base.lproj/LaunchScreen.storyboard                     | XML        |         36 |          1 |          1 |         38 |
| /home/nims/studio projects/sono/ios/Runner/Base.lproj/Main.storyboard                             | XML        |         25 |          1 |          1 |         27 |
| /home/nims/studio projects/sono/ios/Runner/Runner-Bridging-Header.h                               | C++        |          1 |          0 |          1 |          2 |
| /home/nims/studio projects/sono/ios/RunnerTests/RunnerTests.swift                                 | Swift      |          7 |          2 |          4 |         13 |
| /home/nims/studio projects/sono/lib/core/constant/image_asset.dart                                | Dart       |         30 |          3 |         11 |         44 |
| /home/nims/studio projects/sono/lib/core/constant/routes/get_page.dart                            | Dart       |         28 |          4 |         12 |         44 |
| /home/nims/studio projects/sono/lib/core/constant/routes/route.dart                               | Dart       |          8 |         26 |         11 |         45 |
| /home/nims/studio projects/sono/lib/core/constant/theme/color/dark_color.dart                     | Dart       |          3 |          5 |          7 |         15 |
| /home/nims/studio projects/sono/lib/core/constant/theme/color/general_color.dart                  | Dart       |         26 |          6 |         16 |         48 |
| /home/nims/studio projects/sono/lib/core/constant/theme/color/light_color.dart                    | Dart       |          3 |          5 |          7 |         15 |
| /home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/app_bar_theme.dart         | Dart       |         14 |          0 |          5 |         19 |
| /home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/elevated_button_theme.dart | Dart       |         27 |          0 |          4 |         31 |
| /home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/icon_theme.dart            | Dart       |          9 |          0 |          4 |         13 |
| /home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/text_filed_theme.dart      | Dart       |         46 |          0 |          4 |         50 |
| /home/nims/studio projects/sono/lib/core/constant/theme/elements_theme/text_theme.dart            | Dart       |         40 |          0 |          5 |         45 |
| /home/nims/studio projects/sono/lib/core/constant/theme/theme.dart                                | Dart       |         40 |          0 |          4 |         44 |
| /home/nims/studio projects/sono/lib/core/functions/get_theme_color.dart                           | Dart       |          7 |          0 |          4 |         11 |
| /home/nims/studio projects/sono/lib/core/localization/language/ar.dart                            | Dart       |         32 |         16 |         23 |         71 |
| /home/nims/studio projects/sono/lib/core/localization/language/en.dart                            | Dart       |         32 |         15 |         18 |         65 |
| /home/nims/studio projects/sono/lib/core/localization/translation.dart                            | Dart       |         10 |          2 |          3 |         15 |
| /home/nims/studio projects/sono/lib/core/middleware/my_middleware.dart                            | Dart       |         14 |          0 |          7 |         21 |
| /home/nims/studio projects/sono/lib/core/package/tap_to_exit.dart                                 | Dart       |         49 |          0 |          5 |         54 |
| /home/nims/studio projects/sono/lib/core/responsive/base_widget.dart                              | Dart       |         12 |          0 |          6 |         18 |
| /home/nims/studio projects/sono/lib/core/responsive/responsive_layout.dart                        | Dart       |         26 |          0 |          6 |         32 |
| /home/nims/studio projects/sono/lib/core/responsive/responsive_text.dart                          | Dart       |          8 |          0 |          2 |         10 |
| /home/nims/studio projects/sono/lib/core/responsive/screen_size.dart                              | Dart       |         15 |          0 |          4 |         19 |
| /home/nims/studio projects/sono/lib/core/services/change_local_settings.dart                      | Dart       |         34 |          0 |         12 |         46 |
| /home/nims/studio projects/sono/lib/core/services/my_services.dart                                | Dart       |         23 |          0 |          9 |         32 |
| /home/nims/studio projects/sono/lib/data/data_source/static/onboarding_static.dart                | Dart       |         15 |          0 |          2 |         17 |
| /home/nims/studio projects/sono/lib/data/model/onboarding_model.dart                              | Dart       |          6 |          0 |          1 |          7 |
| /home/nims/studio projects/sono/lib/logic/bindings/initial_bindings.dart                          | Dart       |         12 |          1 |          5 |         18 |
| /home/nims/studio projects/sono/lib/logic/controller/home_screen_controller.dart                  | Dart       |         35 |          0 |         10 |         45 |
| /home/nims/studio projects/sono/lib/logic/controller/onboarding_controller.dart                   | Dart       |         41 |          0 |         10 |         51 |
| /home/nims/studio projects/sono/lib/logic/controller/settings_controller.dart                     | Dart       |          9 |          0 |          6 |         15 |
| /home/nims/studio projects/sono/lib/main.dart                                                     | Dart       |         44 |          0 |          5 |         49 |
| /home/nims/studio projects/sono/lib/main_screen.dart                                              | Dart       |         16 |          0 |          4 |         20 |
| /home/nims/studio projects/sono/lib/test.dart                                                     | Dart       |          0 |         48 |         13 |         61 |
| /home/nims/studio projects/sono/lib/view/screen/account.dart                                      | Dart       |          8 |          0 |          2 |         10 |
| /home/nims/studio projects/sono/lib/view/screen/advertisements.dart                               | Dart       |          8 |          0 |          3 |         11 |
| /home/nims/studio projects/sono/lib/view/screen/chats.dart                                        | Dart       |         28 |          0 |          4 |         32 |
| /home/nims/studio projects/sono/lib/view/screen/home_page/home_page.dart                          | Dart       |         18 |          0 |          3 |         21 |
| /home/nims/studio projects/sono/lib/view/screen/home_page/icons_home/add_ads/add.dart             | Dart       |         23 |          0 |          3 |         26 |
| /home/nims/studio projects/sono/lib/view/screen/home_page/icons_home/favorite.dart                | Dart       |         19 |          0 |          3 |         22 |
| /home/nims/studio projects/sono/lib/view/screen/home_page/icons_home/notifications.dart           | Dart       |         16 |          0 |          2 |         18 |
| /home/nims/studio projects/sono/lib/view/screen/home_screen.dart                                  | Dart       |         25 |          0 |          5 |         30 |
| /home/nims/studio projects/sono/lib/view/screen/language.dart                                     | Dart       |         36 |          0 |          4 |         40 |
| /home/nims/studio projects/sono/lib/view/screen/onboarding.dart                                   | Dart       |         30 |          0 |          4 |         34 |
| /home/nims/studio projects/sono/lib/view/widget/arrow_back.dart                                   | Dart       |         24 |          0 |          4 |         28 |
| /home/nims/studio projects/sono/lib/view/widget/bottom_nav_bar/animated_container.dart            | Dart       |         25 |          0 |          4 |         29 |
| /home/nims/studio projects/sono/lib/view/widget/bottom_nav_bar/bottom_nav_bar.dart                | Dart       |         93 |          0 |          6 |         99 |
| /home/nims/studio projects/sono/lib/view/widget/close_icon_page.dart                              | Dart       |         24 |          0 |          4 |         28 |
| /home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_logo.dart                  | Dart       |         13 |          0 |          5 |         18 |
| /home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_mobile.dart                | Dart       |         42 |          0 |          4 |         46 |
| /home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_page.dart                  | Dart       |         38 |          0 |          3 |         41 |
| /home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_show_menu.dart             | Dart       |         62 |          0 |          6 |         68 |
| /home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_tablet.dart                | Dart       |         48 |          0 |          5 |         53 |
| /home/nims/studio projects/sono/lib/view/widget/custom_app_bar/app_bar_web.dart                   | Dart       |          8 |          0 |          2 |         10 |
| /home/nims/studio projects/sono/lib/view/widget/custom_app_bar/filter.dart                        | Dart       |         25 |          0 |          5 |         30 |
| /home/nims/studio projects/sono/lib/view/widget/home_page/add_ads/add_appbar.dart                 | Dart       |         44 |          0 |          4 |         48 |
| /home/nims/studio projects/sono/lib/view/widget/home_page/add_ads/add_card.dart                   | Dart       |         12 |          0 |          2 |         14 |
| /home/nims/studio projects/sono/lib/view/widget/my_icon_button.dart                               | Dart       |         15 |          1 |          3 |         19 |
| /home/nims/studio projects/sono/lib/view/widget/onboarding/custom_button.dart                     | Dart       |         44 |          0 |          2 |         46 |
| /home/nims/studio projects/sono/lib/view/widget/onboarding/custom_slider.dart                     | Dart       |         75 |          0 |          4 |         79 |
| /home/nims/studio projects/sono/lib/view/widget/onboarding/dot_controller.dart                    | Dart       |         44 |          0 |          4 |         48 |
| /home/nims/studio projects/sono/lib/view/widget/onboarding/skip_button.dart                       | Dart       |         31 |          0 |          4 |         35 |
| /home/nims/studio projects/sono/lib/view/widget/text_form_field.dart                              | Dart       |         28 |          8 |          4 |         40 |
| /home/nims/studio projects/sono/lib/view/widget/utilization/language/custom_button_lang.dart      | Dart       |         26 |          0 |          3 |         29 |
| /home/nims/studio projects/sono/linux/flutter/generated_plugin_registrant.cc                      | C++        |          3 |          4 |          5 |         12 |
| /home/nims/studio projects/sono/linux/flutter/generated_plugin_registrant.h                       | C++        |          5 |          5 |          6 |         16 |
| /home/nims/studio projects/sono/linux/main.cc                                                     | C++        |          5 |          0 |          2 |          7 |
| /home/nims/studio projects/sono/linux/my_application.cc                                           | C++        |         74 |         11 |         20 |        105 |
| /home/nims/studio projects/sono/linux/my_application.h                                            | C++        |          7 |          7 |          5 |         19 |
| /home/nims/studio projects/sono/pubspec.yaml                                                      | YAML       |         33 |         39 |          7 |         79 |
| /home/nims/studio projects/sono/test/widget_test.dart                                             | Dart       |         14 |         10 |          7 |         31 |
| /home/nims/studio projects/sono/web/index.html                                                    | HTML       |         38 |         16 |          6 |         60 |
| /home/nims/studio projects/sono/web/manifest.json                                                 | JSON       |         35 |          0 |          1 |         36 |
| Total                                                                                             |            |      2,270 |        309 |        473 |      3,052 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
